종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"293480","하나제약","KOSPI","의약품","14200","-300","-2.07","252375833200"
"039130","하나투어","KOSPI","서비스업","51500","900","1.78","826018027500"
"352820","하이브","KOSPI","서비스업","114500","-4000","-3.38","4734962811500"
"071090","하이스틸","KOSPI","철강금속","3855","-110","-2.77","77838120705"
"019490","하이트론","KOSPI","전기전자","2470","0","0.00","23739723280"
"000080","하이트진로","KOSPI","음식료품","25150","300","1.21","1763860316650"
"000087","하이트진로2우B","KOSPI","음식료품","16750","450","2.76","18929811500"
"000140","하이트진로홀딩스","KOSPI","기타금융","10050","-50","-0.50","233227988250"
"000145","하이트진로홀딩스우","KOSPI","기타금융","12650","-100","-0.78","5955746500"
"152550","한국ANKOR유전","KOSPI","기타금융","1685","-10","-0.59","117983700000"
"036460","한국가스공사","KOSPI","전기가스업","34550","50","0.14","3189414150000"
"005430","한국공항","KOSPI","운수창고업","35900","-250","-0.69","113672144500"
"071050","한국금융지주","KOSPI","기타금융","48750","1800","3.83","2716642110000"
"071055","한국금융지주우","KOSPI","기타금융","43700","200","0.46","256005568700"
"010040","한국내화","KOSPI","비금속광물","2705","55","2.08","111086402710"
"025540","한국단자","KOSPI","전기전자","55300","-1000","-1.78","575949500000"
"004090","한국석유","KOSPI","비금속광물","11550","-700","-5.71","146617086000"
"002200","한국수출포장","KOSPI","종이목재","24200","200","0.83","96800000000"
"002960","한국쉘석유","KOSPI","화학","244000","-1500","-0.61","317200000000"
"000240","한국앤컴퍼니","KOSPI","기타금융","12000","0","0.00","1139222880000"
"123890","한국자산신탁","KOSPI","기타금융","3040","15","0.50","376892366080"
"015760","한국전력","KOSPI","전기가스업","18150","-300","-1.63","11651647997550"
"006200","한국전자홀딩스","KOSPI","기타금융","1180","-15","-1.26","55227700480"
"009540","한국조선해양","KOSPI","운수장비","77300","700","0.91","5470761866800"
"023350","한국종합기술","KOSPI","서비스업","6970","570","8.91","76321500000"
"025890","한국주강","KOSPI","기계","2620","-50","-1.87","29630258580"
"000970","한국주철관","KOSPI","철강금속","6770","70","1.04","154359385000"
"104700","한국철강","KOSPI","철강금속","5790","10","0.17","245785500000"
